Rank,Title,Author,Points,Comments,Category,URL
55,QNX on the Commodore 900 – Raiders of the lost hard drive [video] (2025),rbanffy,47,6,Normal,https://archive.fosdem.org/2025/schedule/event/fosdem-2025-5479-raiders-of-the-lost-hard-drive/
24,MoQ Boy,mmcclure,46,5,Normal,https://moq.dev/blog/moq-boy/
19,Notepad++ for Mac – Independent community port,jonbaer,41,21,Normal,https://notepad-plus-plus-mac.org/
23,Running Bare-Metal Rust Alongside ESP-IDF on the ESP32-S3's Second Core,MrBuddyCasino,41,8,Normal,https://tingouw.com/blog/embedded/esp32/run_rust_on_app_core
12,The fastest Linux timestamps,hmpc,39,9,Normal,https://www.hmpcabral.com/2026/04/26/the-fastest-linux-timestamps/
37,"Show HN: Tiao, A two-player turn-based board game",trebeljahr,37,7,Normal,https://playtiao.com
46,Orinoco: Young Generation Garbage Collection,plow-tycoon,35,5,Normal,https://v8.dev/blog/orinoco-parallel-scavenger
18,FreeBSD Device Drivers Book,myth_drannon,32,5,Normal,https://github.com/ebrandi/FDD-book
88,Microsoft tackles quality control issues. Just kidding,Bender,24,3,Normal,https://www.theregister.com/2026/04/24/microsoft_seeks_quality_improvements_by/
9,When Your Digital Life Vanishes,benbreen,21,2,Normal,https://www.newyorker.com/magazine/2026/04/27/when-your-digital-life-vanishes
35,Show HN: Startup Equity Adventure Game,iliabara,21,7,Normal,https://options-game-polymathrobotics.pythonanywhere.com/
76,Show HN: Auge Vision from Your Terminal,franze,21,3,Normal,https://auge.franzai.com/
39,"Show HN: The Unix Magic poster, annotated (updated)",drio,19,1,Normal,https://github.com/drio/unixmagic
4,TurboQuant: A First-Principles Walkthrough,kweezar,18,2,Normal,https://arkaung.github.io/interactive-turboquant/
54,The reporters at this news site are AI bots. OpenAI appears to be funding it,Teever,18,1,Normal,https://modelrepublic.substack.com/p/the-reporters-at-this-news-site-are
6,EvanFlow – A TDD driven feedback loop for Claude Code,evanklem2004,17,4,Normal,https://github.com/evanklem/evanflow
17,Lessons from building multiplayer browsers,alejandrohacks,17,8,Normal,https://www.alejandro.pe/writing/sail-muddy-lessons
43,The Last of the Lost Generation,benbreen,16,4,Normal,https://porticoquarterly.com/book/the-last-of-the-lost-generation/
7,The Prompt API,gslin,15,6,Normal,https://developer.chrome.com/docs/ai/prompt-api
62,The Hottest Phone for Kids Right Now Is a $100 Landline,Amorymeltzer,14,5,Normal,https://www.bloomberg.com/news/articles/2026-04-24/viral-tin-can-phone-brings-landline-nostalgia-back-for-kids-in-2026
27,Music of the BBC Microcomputer System,eightb,13,1,Normal,https://www.acornelectron.co.uk/eug/72/a-musi.html
57,Principia Softwarica: Fundamental Literate System Programs,pratikdeoghare,13,1,Normal,https://principia-softwarica.org/
68,"After three months on Linux, I don't miss Windows at all",Brajeshwar,13,3,Normal,https://www.theverge.com/tech/918797/switched-to-linux-dont-miss-windows
38,The QEII garden – built from its own ruins – opens in Regent's Park,zeristor,11,2,Normal,https://www.ianvisits.co.uk/articles/a-garden-built-from-its-own-ruins-opens-in-regents-park-89152/
52,"Show HN: AgentSwarms – free hands-on playground to learn agentic AI, no setup",rohan044,10,0,Normal,https://agentswarms.fyi/
